status,ami_serial,meter_key_normalized,matched_meter_docs,modified_meter_docs,candidate_existing_meter_serials,old_names,new_name,old_multipliers,new_multiplier,csv_multiplier,expected_multiplier_from_ct,suspicious_multiplier,region,device_no,readings_matched_or_modified
MATCHED_UPDATE,MSY300267000,MSY300267000,1,1,MSY300267000,YÜRÜYEN MERDİVEN 1,YÜRÜYEN MERDİVEN 1,1,1,1,1,False,B2-B2 A5 ASANSÖR YANI ATÖLYE YANI,MA-RF-3486-6DEB,466
MATCHED_UPDATE,MSY300267184,MSY300267184,1,1,MSY300267184,YÜRÜYEN MERDİVEN 2,YÜRÜYEN MERDİVEN 2,1,1,1,1,False,B2-B2 A5 ASANSÖR YANI ATÖLYE YANI,MA-RF-3486-6DEB,467
MATCHED_UPDATE,MSY300267466,MSY300267466,1,1,MSY300267466,"B-2 ve B-3 G12 AVM GİRİŞLER, KAYAR LED*","B-2 ve B-3 G12 AVM GİRİŞLER, KAYAR LED*",1,1,1,1,False,B2-B2 A5 ASANSÖR YANI ATÖLYE YANI,MA-RF-3486-6DEB,465
MATCHED_UPDATE,MSY300267157,MSY300267157,1,1,MSY300267157,SCH İNDLER CAM ASANSÖR,SCHİNDLER CAMLI ASANSÖR,1,1,1,1,False,B2-B2 A5 ASANSÖR YANI ATÖLYE YANI,MA-RF-3486-6DEB,480
MATCHED_UPDATE,MSY300265654,MSY300265654,1,1,MSY300265654,E BEBEK,E BEBEK 17-18-19,15,15,15,15,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-32C7-53E8,144
MATCHED_UPDATE,MSY300265657,MSY300265657,1,1,MSY300265657,BOUTİQUEN (KFC SOL YANI),BOUTİQUEN (KFC SOL YANI) 359,25,25,25,25,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-32C7-53E8,146
MATCHED_UPDATE,MSY300265643,MSY300265643,1,1,MSY300265643,(GRANDE GÜV. OFİSİ) AVM YÖNETİM 360,(GRANDE GÜV. OFİSİ) AVM YÖNETİM 360,30,30,30,30,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-32C7-53E8,143
MATCHED_UPDATE,MSY300265642,MSY300265642,1,1,MSY300265642,RED ROSECAKE,RED ROSECAKE 361-362,25,25,25,25,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-32C7-53E8,145
MATCHED_UPDATE,MSY300265656,MSY300265656,1,1,MSY300265656,STARBACKS,STARBACKS 357,30,30,30,30,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-32C7-53E8,142
MATCHED_UPDATE,MSY300265752,MSY300265752,1,1,MSY300265752,ARDEN FC 358,ARDEN FC 358,25,25,25,25,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-32C7-53E8,142
MATCHED_UPDATE,MSY300265470,MSY300265470,1,1,MSY300265470,OTOMANA 1453,OTOMANA 1453 -363,15,15,15,15,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-32C7-53E8,146
MATCHED_UPDATE,MSY300264784,MSY300264784,1,1,MSY300264784,RİTİM BAHÇE REKLAM (AVM SAYACI),RİTİM BAHÇE REKLAM (AVM SAYACI),15,15,15,15,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-3486-6DF2,328
MATCHED_UPDATE,MSY300267324,MSY300267324,1,1,MSY300267324,TÜRKTELEKOM 105,TÜRKTELEKOM 105,1,1,1,1,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-3486-6DF2,310
MATCHED_UPDATE,MSY300267029,MSY300267029,1,1,MSY300267029,VODEFONE 106,VODEFONE 106,1,1,1,1,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-3486-6DF2,283
MATCHED_UPDATE,MSY300267329,MSY300267329,1,1,MSY300267329,TÜRKCELL 107,TÜRKCELL 107,1,1,1,1,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-3486-6DF2,279
MATCHED_UPDATE,02778336,2778336,1,1,2778336,MİTSUBISHI ASANSÖR1 163,KONUT MİTSUBISHI ASANSÖR 1 163,1,1,1,1,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-3486-6DF2,0
MATCHED_UPDATE,MSY300267022,MSY300267022,1,1,MSY300267022,G12 AS-30  AVM MİTSUBISHI ASANSÖR2 164,AS-30  G12 AVM MİTSUBISHI ASANSÖR 2 164,1,1,1,1,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-3486-6DF2,288
MATCHED_UPDATE,02778276,2778276,1,1,2778276,TİCARİ ASANSÖR1 165,TİCARİ ASANSÖR1 165,1,1,1,1,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-3486-6DF2,0
MATCHED_UPDATE,02778117,2778117,1,1,02778117,TİCARİ ASANSÖR2 166,TİCARİ ASANSÖR2 166,1,1,1,1,False,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,MA-RF-3486-6DF2,0
