meter_serial,first_value
MSY300267000,"8,450.61"
MSY300267184,"7,030.06"
MSY300267466,"6,970.97"
MSY300267157,971.88
MSY300265654,"3,749.32"
MSY300265657,0
MSY300265643,164.73
MSY300265642,28.96
MSY300265656,"2,098.15"
MSY300265752,"5,390.06"
MSY300265470,"1,611.67"
MSY300264784,319.79
MSY300267324,"9,521.17"
MSY300267029,"38,013.46"
MSY300267329,"29,429.50"
02778336,442.98
MSY300267022,"2,061.69"
02778276,"15,986.75"
02778117,"19,413.93"
MSY300267319,"5,886.35"
MSY300267013,"4,412.29"
MSY300267330,"15,003.15"
MSY300267321,7.63
MSY300267010,0
MSY300266997,"4,628.70"
MSY100371627,"2,691.23"
MSY100371728,"1,998.72"
MSY100371354,"1,486.32"
MSY100371459,"2,519.32"
MSY100371470,"1,158.90"
AEL810044631,373
MSY300265471,9.15
MSY300267179,"2,043.74"
MSY300265974,"2,968.29"
AEL810026991,"24,534.95"
AEL810026769,"2,158.29"
MSY300267001,"1,556.26"
MSY300266994,275.88
MSY300265566,898.43
MSY300265964,"1,634.88"
MSY300265466,"2,091.10"
MSY300265757,"1,814.33"
MSY300264781,"1,449.13"
02378736,517.67
MSY300265755,"5,075.07"
02386493,54.66
02386341,0
MSY300264782,295.74
02386259,0
02386314,0
02386397,287.35
02386241,833.94
MSY300267185,"6,669.95"
MSY300267183,"4,161.52"
MSY300264792,406.18
02777073,"27,676.70"
02777096,"36,315.42"
02777086,"152,741.20"
02777023,"15,362.39"
02777124,"4,998.69"
02777069,"13,321.01"
02776956,"5,948.16"
MSY300265649,"2,742.86"
MSY300264785,"1,187.72"
MSY300264777,583.83
MSY300267172,"4,300.64"
MSY300264780,410.25
02778223,"4,639.37"
02778165,"7,023.03"
05077584,"3,194.04"
MSY300267468,"1,553.03"
02778373,"9,538.21"
02778113,"8,285.63"
02777411,594.34
02777285,"8,725.80"
02778370,"26,469.11"
02778227,"2,562.87"
02777783,"19,788.52"
02778286,"16,001.15"
02778242,"15,950.46"
02777506,43.53
02778266,"36,523.66"
02778269,"7,961.56"
02777703,"4,529.61"
02778337,"1,823.27"
02778303,"4,879.74"
02777632,"2,440.12"
02778274,"6,299.53"
02777610,"1,105.49"
02777742,"7,982.72"
02777730,"13,335.73"
02777607,"10,848.17"
02777613,"4,834.92"
02777684,"5,634.24"
02777529,"3,736.54"
02778378,13.23
MSY300267469,"1,659.33"
02778289,1.28
02778182,"41,118.63"
02778316,"4,531.40"
02778239,"13,061.22"
02778164,"67,119.52"
02778247,"65,806.19"
02777736,0.82
02777483,"19,578.62"
02777707,"11,251.99"
02778516,1.53
02777634,"87,831.52"
02778299,"43,013.08"
02778735,"5,434.35"
02778742,"7,999.83"
02778205,"6,376.19"
02777641,0.61
MSY300267014,"3,767.86"
MSY300265737,"4,326.37"
MSY300265464,"1,010.67"
MSY300265461,"1,386.76"
MSY300265740,314.52
02386317,0
02385994,6
02386383,"1,063.96"
02778295,"2,769.00"
AEL810028051,"11,639.73"
MSY300265463,"1,592.83"
MSY300265572,790.82
02777723,"18,841.11"
02778264,"21,810.17"
MSY300267472,"9,198.14"
MSY300266992,"5,717.33"
MSY300265653,996.38
MSY300267458,"8,850.84"
AEL810043851,528.28
AEL810044603,"1,622.96"
MSY300265721,1.74
AEL810027046,"3,331.10"
MSY300265749,18.54
MSY300265647,410.92
MSY300265465,0.44
02386333,0
MSY300265819,"1,516.07"
02385962,0
MSY300267459,"3,140.92"
02777725,"16,636.87"
02777718,"13,071.59"
MSY300267031,"16,585.65"
02776620,"11,254.90"
02776366,"2,083.91"
01445451,368.15
02776459,"2,030.31"
02777101,"7,188.43"
05070283,"9,095.93"
05070396,"14,153.44"
02386010,0
MSY300265639,"1,070.96"
MSY300265748,"1,369.38"
MSY300265825,"1,376.94"
MSY300265965,"1,323.10"
MSY300265820,935.77
