sort_order,meter_serial,name,old_first_value,new_first_value,last_reading_value,raw_csv_value
1,MSY300267000,YÜRÜYEN MERDİVEN 1,7346.134,8450.61,8527.425,"8,450.61"
2,MSY300267184,YÜRÜYEN MERDİVEN 2,6057.526,7030.06,7097.803,"7,030.06"
3,MSY300267466,"B-2 ve B-3 G12 AVM GİRİŞLER, KAYAR LED*",6094.124,6970.97,7045.604,"6,970.97"
4,MSY300267157,SCHİNDLER CAMLI ASANSÖR,837.372,971.88,980.267,971.88
5,MSY300265654,E BEBEK 17-18-19,3325.499,3749.32,3779.325,"3,749.32"
6,MSY300265657,BOUTİQUEN (KFC SOL YANI) 359,0.0,0.0,0.0,0
7,MSY300265643,(GRANDE GÜV. OFİSİ) AVM YÖNETİM 360,164.734,164.73,164.734,164.73
8,MSY300265642,RED ROSECAKE 361-362,28.952,28.96,28.962,28.96
9,MSY300265656,STARBACKS 357,1833.573,2098.15,2115.085,"2,098.15"
10,MSY300265752,ARDEN FC 358,4729.626,5390.06,5440.967,"5,390.06"
11,MSY300265470,OTOMANA 1453 -363,1601.05,1611.67,1624.81,"1,611.67"
12,MSY300264784,RİTİM BAHÇE REKLAM (AVM SAYACI),302.471,319.79,321.564,319.79
13,MSY300267324,TÜRKTELEKOM 105,8334.067,9521.17,9598.257,"9,521.17"
14,MSY300267029,VODEFONE 106,33420.302,38013.46,38324.801,"38,013.46"
15,MSY300267329,TÜRKCELL 107,25576.882,29429.5,29686.511,"29,429.50"
16,02778336,KONUT MİTSUBISHI ASANSÖR 1 163,440.435,442.98,442.981,442.98
17,MSY300267022,AS-30  G12 AVM MİTSUBISHI ASANSÖR 2 164,1909.009,2061.69,2079.799,"2,061.69"
18,02778276,TİCARİ ASANSÖR1 165,15856.903,15986.75,15994.002,"15,986.75"
19,02778117,TİCARİ ASANSÖR2 166,18449,19413.93,19423.315,"19,413.93"
20,MSY300267319,AVM YÜRÜYEN MERDİVEN1 167,5150.523,5886.35,5938.389,"5,886.35"
21,MSY300267013,AVM YÜRÜYEN MERDİVEN2 168,3883.196,4412.29,4451.789,"4,412.29"
22,MSY300267330,PENTİ  20-21,13143.782,15003.15,15132.627,"15,003.15"
23,MSY300267321,GALERİ OPTİK 22,0.241,7.63,7.681,7.63
24,MSY300267010,E-BEBEK ARKASI AVM YÖENİTM DEPO      (AVM ORTAK ALAN),0.0,0.0,0.0,0
25,MSY300266997,PERSONEL DİNLENME ALANI ODASI B-2,4221.163,4628.7,4652.549,"4,628.70"
26,MSY100371627,YAPI KREDİ ATM,2456.417,2691.23,2703.049,"2,691.23"
27,MSY100371728,GARANTİ ATM,1767.994,1998.72,2012.223,"1,998.72"
28,MSY100371354,İŞBANKASI ATM,1323.155,1486.32,1497.711,"1,486.32"
29,MSY100371459,AKBANK ATM,2197.374,2519.32,2543.044,"2,519.32"
30,MSY100371470,ZİRAAT BANKASI ATM,1017.524,1158.9,1168.606,"1,158.90"
31,AEL810044631,"ANA TRAFO PANASU (TR6)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma",175,373.0,376.348,373
32,MSY300265471,A1 YANGIN PANOSU,7.943,9.15,9.221,9.15
33,MSY300267179,TÜRKTELEKOM YENİ SAYAÇ 17.12.2025,,2043.74,2073.698,"2,043.74"
34,MSY300265974,KÖFTECİ YUSUF1 109-110,2596.392,2968.29,2998.921,"2,968.29"
35,AEL810026991,KÖFTECİ YUSUF2 111-113,18773,24534.95,24599.971,"24,534.95"
36,AEL810026769,"DÖNER ""Y"" KÖFTECİ YUSUF 3 115",2137,2158.29,2158.502,"2,158.29"
37,MSY300267001,KÖFTECİ YUSUF DEPO 4 -178-(B-2 BÜYÜK DEPO),1349.913,1556.26,1571.709,"1,556.26"
38,MSY300266994,A-2 BLOK KAYAR LED DIŞ AYDINLATMA,262.282,275.88,277.107,275.88
39,MSY300265566,BURGER KİNG 2 -114,775.395,898.43,906.528,898.43
40,MSY300265964,KÖFTECİ YUSUF 5-112,1416.337,1634.88,1652.83,"1,634.88"
41,MSY300265466,FUNDORA AİLE EĞLENCE MERKEZİ 23,1824.484,2091.1,2109.4,"2,091.10"
43,MSY300265757,AUTO CLUB (OTO YIKAMA),1561.485,1814.33,1829.495,"1,814.33"
44,MSY300264781,GARAJ FORM B-3 D-11,1272.867,1449.13,1461.282,"1,449.13"
45,02378736,GARAJ FORM B-3 D-12,,517.67,527.992,517.67
46,MSY300265755,GETİR  45  13-14,4515.017,5075.07,5112.057,"5,075.07"
47,02386493,STATEMENT DEPO 71  Z-K A-4,,54.66,56.18,54.66
48,02386341,NA TAMAAM DÜKKAN 72 Z-K A-4,,0.0,0.87,0
49,MSY300264782,AYUMİ DEPO 73,254.028,295.74,298.924,295.74
50,02386259,NA TAMAAM DÜKKAN 74 Z-K A-4,,0.0,0.144,0
51,02386314,Z-75 A-4 BLOK,,0.0,0.206,0
52,02386397,A 46 B-1 KAT TİCARİ A-046  B-1 TİCARİ KAT (GULFSTAR),255.726,287.35,288.559,287.35
53,02386241,A 47 B-1 KAT TİCARİ,816.355,833.94,835.027,833.94
54,MSY300267185,SÜPER ONLİNE  108,5838.108,6669.95,6723.328,"6,669.95"
55,MSY300267183,VODEFONE 109,3688.764,4161.52,4195.004,"4,161.52"
56,MSY300264792,YENİ YÖNETİM OFİS,498.0,406.18,408.716,406.18
58,02777073,DÜKKAN 39 ÜÇAY MÜHENDİSLİK,27676.651,27676.7,27676.702,"27,676.70"
59,02777096,DÜKKAN 40 ÜÇAY MÜHENDİSLİK,35561.134,36315.42,36368.831,"36,315.42"
60,02777086,DÜKKAN 41 ÜÇAY MÜHENDİSLİK,150046.651,152741.2,152846.648,"152,741.20"
61,02777023,B-1 KAT TİCARİ DÜKKAN 42,14921.443,15362.39,15406.163,"15,362.39"
62,02777124,B-1 KAT TİCARİ DÜKKAN 43,4928.812,4998.69,5005.449,"4,998.69"
63,02777069,B-1 KAT TİCARİ DÜKKAN 44,13222.576,13321.01,13327.38,"13,321.01"
64,02776956,B-1 KAT TİCARİ DÜKKAN 45,5832.639,5948.16,5954.332,"5,948.16"
65,MSY300265649,MICHIGAN KAFE 01,2402.196,2742.86,2767.974,"2,742.86"
66,MSY300264785,DRY CLEAN ( KURU TEMİZLEME) 02,1026.22,1187.72,1198.153,"1,187.72"
68,MSY300264777,NEZİH KİTAP EVİ 37,517.342,583.83,589.235,583.83
69,MSY300267172,ECZANE 38,3757.988,4300.64,4323.953,"4,300.64"
70,MSY300264780,NORMOD MOBİLYA 73-74 A-6 BLOK,368.538,410.25,413.494,410.25
72,02778223,B-1 KAT DÜKKAN 55,4591.381,4639.37,4650.255,"4,639.37"
73,02778165,B-1 KAT DÜKKAN 56,6766.967,7023.03,7035.334,"7,023.03"
74,05077584,B-1 KAT DÜKKAN 57,,3194.04,3197.435,"3,194.04"
75,MSY300267468,SATRANÇ TURNUVASI ALANI 36,1344.55,1553.03,1572.581,"1,553.03"
76,02778373,B-1 KAT DÜKKAN 58,9346.545,9538.21,9550.207,"9,538.21"
77,02778113,B-1 KAT DÜKKAN 59,7487.186,8285.63,8342.867,"8,285.63"
78,02777411,B-1 KAT DÜKKAN 60,593.791,594.34,594.389,594.34
79,02777285,B-1 KATDÜKKAN 61,8424.348,8725.8,8751.903,"8,725.80"
80,02778370,A5-171 1 KAT TİCARİ OFİS (DEVATEK),26101.865,26469.11,26477.436,"26,469.11"
81,02778227,A5-172 1 KAT TİCARİ OFİS (DEVATEK),2562.821,2562.87,2562.878,"2,562.87"
82,02777783,A5-173 1 KAT TİCARİ OFİS,19708.517,19788.52,19790.929,"19,788.52"
83,02778286,A5-174 1 KAT TİCARİ OFİS,15716.02,16001.15,16003.092,"16,001.15"
84,02778242,A5-175 1 KAT TİCARİ OFİS,15759.614,15950.46,15960.66,"15,950.46"
85,02777506,A5-176 1 KAT TİCARİ OFİS,43.51,43.53,43.536,43.53
86,02778266,A5-177 1 KAT TİCARİ OFİS,36482.135,36523.66,36523.914,"36,523.66"
87,02778269,A5-178 1 KAT TİCARİ OFİS (İPEK YOLU),7779.163,7961.56,7964.37,"7,961.56"
88,02777703,A5-179 1 KAT TİCARİ OFİS (İPEK YOLU),4333.434,4529.61,4532.487,"4,529.61"
89,02778337,A5-180 1 KAT TİCARİ OFİS,1824.0,1823.27,1823.27,"1,823.27"
90,02778303,A5-181 1 KAT TİCARİ OFİS  (ALLZİN),4816.407,4879.74,4884.229,"4,879.74"
91,02777632,A5-182 1 KAT TİCARİ OFİS (KİN TURKEY),2440.079,2440.12,2440.121,"2,440.12"
92,02778274,A5-183 1 KAT TİCARİ OFİS,6306.0,6299.53,6299.53,"6,299.53"
93,02777610,A5-184 1 KAT TİCARİ OFİS,930.879,1105.49,1107.912,"1,105.49"
94,02777742,A5-185 1 KAT TİCARİ OFİS (HÜSEYİN ÖNDER ALDEMİR),7915.535,7982.72,7983.816,"7,982.72"
95,02777730,A5-186 1 KAT TİCARİ OFİS,13335.684,13335.73,13335.729,"13,335.73"
96,02777607,A5-187 1 KAT TİCARİ OFİS,10712.007,10848.17,10857.958,"10,848.17"
97,02777613,A5-188 1 KAT TİCARİ OFİS (CEREN SEYHAN),4817.622,4834.92,4834.956,"4,834.92"
98,02777684,"A5-189 1 KAT TİCARİ OFİS (CİHANGİR SAĞ, TURZ)",5348.461,5634.24,5665.095,"5,634.24"
99,02777529,A5-190 1 KAT TİCARİ OFİS,3682.706,3736.54,3738.966,"3,736.54"
100,02778378,"A5-191 1 KAT TİCARİ, HENÜZ BOŞ BULUNUYOR",14.0,13.23,13.227,13.23
101,MSY300267469,ORTAK ALAN,1436.699,1659.33,1665.428,"1,659.33"
102,02778289,A1-364 TİCARİ 1 KAT  SÜPER MÜH.MEDİKAL,1.239,1.28,1.282,1.28
103,02778182,A1-365 TİCARİ 1 KAT. SÜPER MÜH.MEDİKAL,40974.224,41118.63,41123.582,"41,118.63"
104,02778316,A1-366 TİCARİ 1 KAT. WE TRADE,4405.299,4531.4,4541.214,"4,531.40"
105,02778239,A1-367 TİCARİ 1 KAT,13014.941,13061.22,13063.842,"13,061.22"
106,02778164,A1-368 TİCARİ 1 KAT (CLEAR SMİLE),66685.908,67119.52,67147.127,"67,119.52"
107,02778247,A1-369 TİCARİ 1 KAT,65068.341,65806.19,65830.896,"65,806.19"
108,02777736,A1-370 TİCARİ 1 KAT,0.787,0.82,0.823,0.82
109,02777483,A1-371 TİCARİ 1 KAT GVS,19389.567,19578.62,19580.639,"19,578.62"
110,02777707,A1-372 TİCARİ 1 KAT,11145.802,11251.99,11251.996,"11,251.99"
111,02778516,A1-373 TİCARİ 1 KAT,1.491,1.53,1.534,1.53
112,02777634,A1-374 TİCARİ 1 KAT,87026.205,87831.52,87872.111,"87,831.52"
113,02778299,A1-375 TİCARİ 1 KAT (ALL NET CONSULTING),42478.674,43013.08,43027.205,"43,013.08"
114,02778735,A1-376 TİCARİ 1 KAT,5349.253,5434.35,5436.283,"5,434.35"
115,02778742,A1-377 TİCARİ 1 KAT,7820.063,7999.83,8001.649,"7,999.83"
116,02778205,A1-378 TİCARİ 1 KAT (ALU MASTER),6350.356,6376.19,6377.926,"6,376.19"
117,02777641,A1-379 TİCARİ 1 KAT,0.6,0.61,0.609,0.61
119,MSY300267014,DÖHLER ORTAK ALAN,3277.247,3767.86,3800.1,"3,767.86"
120,MSY300265737,DÖHLER 24,3827.877,4326.37,4347.597,"4,326.37"
121,MSY300265464,MAC FİT  25-26,879.025,1010.67,1021.383,"1,010.67"
122,MSY300265461,MİGROS 35,1224.687,1386.76,1397.973,"1,386.76"
123,MSY300265740,ZERKUBİ KUYUMCU 27,277.904,314.52,317.062,314.52
124,02386317,RİTİM SİWİM,,0.0,0.053,0
125,02385994,29 FUNDORA DEPO (RİTİM SİWİM YANI),,6.0,5.678,6
126,02386383,DÜRÜMLE 176,,1063.96,1083.625,"1,063.96"
127,02778295,ESKİ MAZAYA OFİS SAYACI,,2769.0,2768.714,"2,769.00"
128,AEL810028051,STATEMENT 177,9247,11639.73,11670.247,"11,639.73"
129,MSY300265463,AYUMİ SUSHİ 179,1389.762,1592.83,1607.748,"1,592.83"
130,MSY300265572,VODEFONE 110,690.865,790.82,797.549,790.82
131,02777723,A3 TİCARİ ASANSÖR1 175,18616.726,18841.11,18847.003,"18,841.11"
132,02778264,A3 TİCARİ ASANSÖR2 176,21545.467,21810.17,21817.925,"21,810.17"
133,MSY300267472,TÜKCELL 111,8176.16,9198.14,9268.425,"9,198.14"
134,MSY300266992,TÜRK TELEKOM,4991.453,5717.33,5768.881,"5,717.33"
135,MSY300265653,DÖHLER 173-174-175-180,888.215,996.38,1005.689,996.38
136,MSY300267458,DÖHLER 181 YENİ DÜKKAN (WC YANI SAĞ YÖN),6861.385,8850.84,8919.166,"8,850.84"
137,AEL810043851,"ANA TRAFO PANASU (TR 1)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma",222,528.28,531.735,528.28
138,AEL810044603,"ANA TRAFO PANASU (TR 2)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma",702,1622.96,1633.984,"1,622.96"
140,MSY300265721,YANGIN POMPASI A2 A5 JET FAN,1.592,1.74,1.753,1.74
142,AEL810027046,TİCARİ KAZAN,3067,3331.1,3333.692,"3,331.10"
143,MSY300265749,TİCARİ CİLLER 1,18.163,18.54,18.567,18.54
144,MSY300265647,TİCARİ CİLLER 2,410.498,410.92,410.954,410.92
145,MSY300265465,A3 A4 JET FAN,1.18,0.44,0.439,0.44
146,02386333,Z-KA-5 161,,0.0,0.727,0
148,MSY300265819,TOYZ SHOP 34   30-31-32-33,1328.552,1516.07,1529.91,"1,516.07"
149,02385962,NA TAMAAM DÜKKAN 169,,0.0,0.265,0
150,MSY300267459,MESCİT 171,2773.564,3140.92,3165.466,"3,140.92"
151,02777725,A5 TİCARİ ASANSÖR1 172,16487.02,16636.87,16645.69,"16,636.87"
152,02777718,A5 TİCARİ ASANSÖR2 173,12954.462,13071.59,13082.091,"13,071.59"
153,MSY300267031,WATSONS 34,14497.773,16585.65,16734.142,"16,585.65"
154,02776620,A5 T.OFİS 48,11235.326,11254.9,11255.346,"11,254.90"
155,02776366,A5 T.OFİS 49,1968.917,2083.91,2088.794,"2,083.91"
