Yeni sayaç seri no,Sıra No,Muhatap,Kat,Blok,Bölge,Eski sayaç üretim tarihi,Eski sayaç seri no,Eski sayaç son endeks,Kolayveri cihaz no,Not,Firma adı ve nereye ait,Akım trafo oranı,Çarpan değeri
300267000,1,AVM,B2,A5 Asansör Yanı Atölye Yanı,B2-B2 A5 ASANSÖR YANI ATÖLYE YANI,2017,7036607,61911,MA-RF-3486-6DEB,Sayaç bağlı,YÜRÜYEN MERDİVEN 1,1,1
300267184,2,AVM,B2,A5 Asansör Yanı Atölye Yanı,B2-B2 A5 ASANSÖR YANI ATÖLYE YANI,2017,7037070,63138,MA-RF-3486-6DEB,Sayaç bağlı,YÜRÜYEN MERDİVEN 2,1,1
300267466,3,AVM,B2,A5 Asansör Yanı Atölye Yanı,B2-B2 A5 ASANSÖR YANI ATÖLYE YANI,2017,17036684,5217,MA-RF-3486-6DEB,Sayaç bağlı,"B-2 ve B-3 G12 AVM GİRİŞLER, KAYAR LED*",1,1
300267157,4,AVM,B2,A5 Asansör Yanı Atölye Yanı,B2-B2 A5 ASANSÖR YANI ATÖLYE YANI,2017,7036629,11944,MA-RF-3486-6DEB,Sayaç bağlı,SCHİNDLER CAMLI ASANSÖR,1,1
300265654,5,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2014,2385877,21064,MA-RF-32C7-53E8,Sayaç bağlı,E BEBEK 17-18-19,75/5,15
300265657,6,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2014,2385693,6118,MA-RF-32C7-53E8,Sayaç bağlı,BOUTİQUEN (KFC SOL YANI) 359,125/5,25
300265643,7,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2014,2386417,852,MA-RF-32C7-53E8,Sayaç bağlı,(GRANDE GÜV. OFİSİ) AVM YÖNETİM 360,150/5,30
300265642,8,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2014,2386207,2729,MA-RF-32C7-53E8,Sayaç bağlı,RED ROSECAKE 361-362,125/5,25
300265656,9,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2014,2386128,16887,MA-RF-32C7-53E8,Sayaç bağlı,STARBACKS 357,150/5,30
300265752,10,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2014,2385935,41302,MA-RF-32C7-53E8,Sayaç bağlı,ARDEN FC 358,125/5,25
