meter_serial,name,base_index_value,base_index_date,multiplier
MSY300267000,YÜRÜYEN MERDİVEN 1,"9,532.81",5/31/2026,1
MSY300267184,YÜRÜYEN MERDİVEN 2,"7,825.34",5/31/2026,1
MSY300267466,"B-2 ve B-3 G12 AVM GİRİŞLER, KAYAR LED*","7,668.05",5/31/2026,1
MSY300267157,SCHİNDLER CAMLI ASANSÖR,"1,100.13",5/31/2026,1
MSY300265654,E BEBEK 17-18-19,"4,117.48",5/31/2026,15
MSY300265657,BOUTİQUEN (KFC SOL YANI) 359,0,5/31/2026,25
MSY300265643,(GRANDE GÜV. OFİSİ) AVM YÖNETİM 360,164.73,5/31/2026,30
MSY300265642,RED ROSECAKE 361-362,28.96,5/31/2026,25
MSY300265656,STARBACKS 357,"2,295.95",5/31/2026,30
MSY300265752,ARDEN FC 358,"6,067.79",5/31/2026,25
MSY300265470,NEVADA CAFE -363,"1,983.54",5/31/2026,15
MSY300264784,RİTİM BAHÇE REKLAM (AVM SAYACI),357.5,5/31/2026,15
MSY300267324,TÜRKTELEKOM 105,"10,739.29",5/31/2026,1
MSY300267029,VODEFONE 106,"42,671.40",5/31/2026,1
MSY300267329,TÜRKCELL 107,"33,434.99",5/31/2026,1
02778336,KONUT MİTSUBISHI ASANSÖR 1 163,444.49,5/31/2026,1
MSY300267022,AS-30  G12 AVM MİTSUBISHI ASANSÖR 2 164,"2,256.88",5/31/2026,1
02778276,TİCARİ ASANSÖR1 165,"16,108.93",5/31/2026,1
02778117,TİCARİ ASANSÖR2 166,"19,564.72",5/31/2026,1
MSY300267319,AVM YÜRÜYEN MERDİVEN1 167,"6,623.81",5/31/2026,1
MSY300267013,AVM YÜRÜYEN MERDİVEN2 168,"4,949.47",5/31/2026,1
MSY300267330,PENTİ  20-21,"16,852.45",5/31/2026,1
MSY300267321,LONDON PREMİUM 22,250.53,5/31/2026,1
MSY300267010,E-BEBEK ARKASI AVM YÖENİTM DEPO      (AVM ORTAK ALAN),0,5/31/2026,1
MSY300266997,PERSONEL DİNLENME ALANI ODASI B-2,"5,132.84",5/31/2026,1
MSY100371627,YAPI KREDİ ATM,"2,922.79",5/31/2026,1
MSY100371728,GARANTİ ATM,"2,218.97",5/31/2026,1
MSY100371354,İŞBANKASI ATM,"1,652.74",5/31/2026,1
MSY100371459,AKBANK ATM,"2,788.94",5/31/2026,1
MSY100371470,ZİRAAT BANKASI ATM,"1,349.68",5/31/2026,1
AEL810044631,"ANA TRAFO PANASU (TR6)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma",420.99,5/31/2026,20
MSY300265471,A1 YANGIN PANOSU,10.46,5/31/2026,320
MSY300267179,TÜRKTELEKOM YENİ SAYAÇ 17.12.2025,"2,516.12",5/31/2026,1
MSY300265974,KÖFTECİ YUSUF1 109-110,"3,437.74",5/31/2026,30
AEL810026991,KÖFTECİ YUSUF2 111-113,"25,538.32",5/31/2026,50
AEL810026769,"DÖNER ""Y"" KÖFTECİ YUSUF 3 115","2,161.50",5/31/2026,50
MSY300267001,KÖFTECİ YUSUF DEPO 4 -178-(B-2 BÜYÜK DEPO),"1,732.94",5/31/2026,1
MSY300266994,A-2 BLOK KAYAR LED DIŞ AYDINLATMA,287.63,5/31/2026,1
MSY300265566,BURGER KİNG 2 -114,"1,023.84",5/31/2026,80
MSY300265964,KÖFTECİ YUSUF 5-112,"1,865.36",5/31/2026,80
MSY300265466,FUNDORA AİLE EĞLENCE MERKEZİ 23,"2,365.33",5/31/2026,200
MSY300265757,AUTO CLUB (OTO YIKAMA),"2,046.26",5/31/2026,15
MSY300264781,GARAJ FORM B-3 D-11,"1,629.74",5/31/2026,15
02378736,GARAJ FORM B-3 D-12,633.48,5/31/2026,20
MSY300265755,GETİR  45  13-14,"5,639.38",5/31/2026,15
02386493,STATEMENT DEPO 71  Z-K A-4,74.98,5/31/2026,25
02386341,NA TAMAAM DÜKKAN 72 Z-K A-4,0.88,5/31/2026,25
MSY300264782,AYUMİ DEPO 73,352.65,5/31/2026,30
02386259,NA TAMAAM DÜKKAN 74 Z-K A-4,0.16,5/31/2026,25
02386314,Z-75 A-4 BLOK,0.23,5/31/2026,15
02386397,A 46 B-1 KAT TİCARİ A-046  B-1 TİCARİ KAT (GULFSTAR),316.81,5/31/2026,15
02386241,A 47 B-1 KAT TİCARİ,851.57,5/31/2026,15
MSY300267185,SÜPER ONLİNE  108,"7,576.01",5/31/2026,1
MSY300267183,VODEFONE 109,"4,646.09",5/31/2026,1
MSY300264792,YENİ YÖNETİM OFİS,454.86,5/31/2026,20
02777073,DÜKKAN 39 ÜÇAY MÜHENDİSLİK,"27,676.77",5/31/2026,1
02777096,DÜKKAN 40 ÜÇAY MÜHENDİSLİK,"36,880.19",5/31/2026,1
